enrollment_id,enrollment_date,enrollment_status,user_id,course_id
1,2024-11-10,INACTIVE,525,21
2,2024-10-11,INACTIVE,2459,131
3,2024-09-28,ACTIVE,1552,107
4,2023-02-17,INACTIVE,4427,189
5,2024-02-06,ACTIVE,4415,65
6,2024-11-07,INACTIVE,3888,2
7,2024-11-17,COMPLETED,1875,87
8,2024-01-19,COMPLETED,860,125
9,2024-03-24,ACTIVE,1569,21
10,2023-02-04,COMPLETED,3458,17
11,2024-02-11,ACTIVE,2153,84
12,2023-09-14,INACTIVE,626,194
13,2023-04-17,ACTIVE,4847,102
14,2023-02-21,COMPLETED,3456,86
15,2024-09-15,COMPLETED,4387,183
16,2023-12-10,COMPLETED,3985,93
17,2024-04-29,COMPLETED,2622,50
18,2024-05-03,COMPLETED,4925,171
19,2024-03-12,COMPLETED,4191,21
20,2024-10-12,ACTIVE,3435,132
21,2023-03-21,ACTIVE,3315,85
22,2024-06-03,COMPLETED,4706,141
23,2024-10-21,INACTIVE,3649,74
24,2023-07-05,ACTIVE,3890,50
25,2024-04-08,COMPLETED,3889,164
26,2023-11-22,INACTIVE,2646,76
27,2024-11-29,INACTIVE,2337,123
28,2023-02-10,COMPLETED,192,102
29,2023-12-14,COMPLETED,2801,189
30,2023-07-15,INACTIVE,4158,172
31,2024-02-29,INACTIVE,4427,96
32,2024-04-22,COMPLETED,1898,43
33,2023-03-26,ACTIVE,2992,79
34,2024-01-08,ACTIVE,2636,110
35,2023-02-22,ACTIVE,3874,117
36,2023-06-15,INACTIVE,2821,99
37,2024-09-30,COMPLETED,3285,194
38,2024-07-06,ACTIVE,4406,21
39,2024-04-06,COMPLETED,3011,33
40,2023-02-16,COMPLETED,1225,7
41,2024-02-12,ACTIVE,2669,66
42,2023-10-12,COMPLETED,836,109
43,2024-02-14,COMPLETED,3352,11
44,2023-11-13,COMPLETED,3292,163
45,2023-09-02,INACTIVE,1647,42
46,2024-12-12,COMPLETED,2743,85
47,2024-06-17,ACTIVE,1726,132
48,2024-10-31,ACTIVE,1843,59
49,2023-09-12,COMPLETED,2158,149
50,2023-10-20,COMPLETED,1268,92
51,2024-12-03,ACTIVE,2660,148
52,2023-06-28,COMPLETED,4110,162
53,2024-03-15,INACTIVE,66,101
54,2023-09-22,INACTIVE,2637,54
55,2023-03-31,ACTIVE,3674,179
56,2023-01-22,ACTIVE,4649,6
57,2023-01-01,ACTIVE,4399,22
58,2023-06-21,COMPLETED,161,53
59,2024-02-24,ACTIVE,3426,103
60,2023-01-14,COMPLETED,3822,144
61,2023-09-20,INACTIVE,4190,104
62,2024-02-05,ACTIVE,4755,18
63,2024-05-12,INACTIVE,4049,178
64,2023-06-01,COMPLETED,2832,1
65,2023-10-30,ACTIVE,4989,196
