lesson_id,user_id,activity_status,activity_date
1758,704,NOT_STARTED,2024-09-17
166,1690,STARTED,2024-03-14
1111,3416,COMPLETED,2024-10-31
879,706,STARTED,2023-06-04
1258,3163,STARTED,2024-06-05
1759,370,STARTED,2024-02-15
1600,1660,COMPLETED,2024-03-14
1229,2519,NOT_STARTED,2023-08-01
1341,1641,STARTED,2024-06-09
1101,3470,NOT_STARTED,2024-05-04
1652,3072,NOT_STARTED,2023-11-12
862,1525,STARTED,2023-08-24
1539,3076,STARTED,2024-10-07
1049,2763,COMPLETED,2024-08-17
1534,1652,COMPLETED,2024-12-28
103,3075,STARTED,2024-08-03
876,1083,STARTED,2023-07-07
323,1430,STARTED,2023-07-05
769,3900,NOT_STARTED,2024-12-17
490,1782,COMPLETED,2023-08-19
1680,2641,STARTED,2023-09-06
1627,1226,NOT_STARTED,2024-04-08
564,1075,STARTED,2024-02-09
85,273,COMPLETED,2023-11-26
1052,1392,COMPLETED,2024-05-05
1146,831,COMPLETED,2023-12-12
21,3852,STARTED,2023-06-05
1304,2425,NOT_STARTED,2024-09-13
409,725,NOT_STARTED,2024-11-28
1999,3168,NOT_STARTED,2023-10-05
1504,2134,STARTED,2023-09-18
742,4411,COMPLETED,2023-10-16
1447,3535,STARTED,2023-07-04
1859,4691,NOT_STARTED,2023-07-28
62,1499,NOT_STARTED,2024-10-24
415,4471,STARTED,2024-09-19
1097,100,NOT_STARTED,2024-11-19
1799,404,NOT_STARTED,2023-12-01
1833,4486,COMPLETED,2023-09-17
375,2530,STARTED,2024-01-16
1242,4476,COMPLETED,2024-11-04
1100,2652,COMPLETED,2024-10-19
1380,1707,STARTED,2024-11-16
1710,1297,NOT_STARTED,2024-10-20
1070,437,COMPLETED,2023-10-04
1536,3156,NOT_STARTED,2024-12-18
1903,1024,STARTED,2023-10-18
1293,690,NOT_STARTED,2023-09-23
687,3472,STARTED,2024-03-31
1535,1692,NOT_STARTED,2024-05-03
1781,2699,COMPLETED,2024-10-25
134,704,STARTED,2024-08-03
448,3288,STARTED,2023-09-22
1593,659,COMPLETED,2023-08-09
1807,3261,STARTED,2024-09-24
212,2328,NOT_STARTED,2024-02-11
1700,3507,STARTED,2023-07-29
1716,3087,NOT_STARTED,2024-03-16
903,112,NOT_STARTED,2024-07-16
1610,3438,COMPLETED,2023-09-30
3,1675,NOT_STARTED,2024-02-20
1898,4725,STARTED,2024-12-31
1517,3097,COMPLETED,2024-08-19
709,3370,STARTED,2023-08-02
94,2275,NOT_STARTED,2023-11-14
767,4391,NOT_STARTED,2024-06-26
1321,4315,NOT_STARTED,2023-09-08
1669,2381,NOT_STARTED,2023-11-10
145,4012,COMPLETED,2024-12-13
407,101,STARTED,2024-05-30
1051,3922,STARTED,2024-12-24
272,767,NOT_STARTED,2023-12-13
1070,1744,NOT_STARTED,2024-06-19
412,885,COMPLETED,2024-08-04
676,3993,NOT_STARTED,2023-12-16
310,1537,STARTED,2023-08-17
249,2915,STARTED,2023-12-19
531,2111,STARTED,2024-03-07
1146,4295,STARTED,2024-06-30
183,2056,NOT_STARTED,2023-11-01
1439,276,COMPLETED,2024-04-24
902,4302,COMPLETED,2023-11-03
1275,4214,COMPLETED,2024-02-10
1496,2404,COMPLETED,2024-03-23
1083,4501,COMPLETED,2024-02-11
995,2859,COMPLETED,2023-08-24
1590,4505,STARTED,2024-08-26
1809,3467,STARTED,2024-09-07
1290,3838,STARTED,2024-03-30
234,4076,NOT_STARTED,2024-11-30
1092,2757,COMPLETED,2024-09-26
1624,361,STARTED,2024-10-11
607,3740,NOT_STARTED,2023-10-12
635,4466,NOT_STARTED,2024-02-29
1844,2343,STARTED,2023-11-13
174,760,COMPLETED,2024-05-20
431,2676,STARTED,2024-11-06
8,1958,NOT_STARTED,2023-07-14
840,4348,NOT_STARTED,2023-11-08
26,3680,STARTED,2024-11-05
608,2340,STARTED,2023-10-11
130,3022,COMPLETED,2023-12-18
1355,2555,STARTED,2024-01-14
524,2837,NOT_STARTED,2024-04-10
1799,4683,COMPLETED,2024-07-14
418,119,STARTED,2024-04-28
791,634,NOT_STARTED,2023-12-15
967,4869,STARTED,2024-07-25
357,4921,COMPLETED,2024-03-20
847,3274,NOT_STARTED,2024-05-15
1663,4816,NOT_STARTED,2024-06-07
1840,1254,STARTED,2024-03-28
717,3574,NOT_STARTED,2024-11-02
462,3912,NOT_STARTED,2024-11-15
8,3112,STARTED,2024-04-20
202,1130,NOT_STARTED,2024-05-31
636,2183,COMPLETED,2024-10-05
1617,449,STARTED,2024-02-01
1487,2506,STARTED,2023-12-11
1239,4719,COMPLETED,2023-09-24
1105,1056,COMPLETED,2023-06-08
1920,4812,NOT_STARTED,2024-06-12
1061,1445,COMPLETED,2023-09-02
982,1721,NOT_STARTED,2024-03-09
1574,1695,STARTED,2024-04-30
1529,439,NOT_STARTED,2024-06-05
19,2360,COMPLETED,2024-06-27
1328,4950,NOT_STARTED,2024-12-28
710,1029,COMPLETED,2024-08-16
852,2804,STARTED,2024-11-14
1506,243,STARTED,2024-01-06
988,2815,STARTED,2024-09-07
870,201,COMPLETED,2024-01-13
1091,1820,COMPLETED,2023-07-02
528,2752,STARTED,2024-08-18
1301,2861,NOT_STARTED,2024-02-07
181,760,COMPLETED,2023-08-22
307,4844,NOT_STARTED,2024-12-03
760,1884,COMPLETED,2023-10-21
86,4589,NOT_STARTED,2023-10-14
182,2027,NOT_STARTED,2024-05-29
1935,1736,COMPLETED,2024-06-21
670,844,COMPLETED,2024-11-28
1209,4677,NOT_STARTED,2024-03-14
760,562,NOT_STARTED,2023-09-04
1781,79,NOT_STARTED,2024-03-02
181,3515,STARTED,2023-06-27
1025,2590,STARTED,2024-05-21
1520,116,STARTED,2023-06-27
1585,3066,COMPLETED,2024-10-10
1990,1778,COMPLETED,2024-10-16
1280,552,NOT_STARTED,2024-02-09
156,388,COMPLETED,2023-06-09
1719,1895,COMPLETED,2024-07-04
503,3368,COMPLETED,2023-09-28
64,2280,COMPLETED,2024-01-19
1553,2289,NOT_STARTED,2024-06-28
1970,3583,STARTED,2024-05-05
1375,2931,NOT_STARTED,2024-08-11
466,1737,COMPLETED,2023-10-28
456,4026,NOT_STARTED,2024-12-15
651,3521,STARTED,2023-11-13
789,4036,NOT_STARTED,2024-06-06
140,4956,NOT_STARTED,2023-12-25
576,3883,STARTED,2023-12-26
361,1712,COMPLETED,2024-05-20
43,4859,COMPLETED,2024-07-28
1681,2327,NOT_STARTED,2024-11-12
31,4416,COMPLETED,2024-06-15
1612,1652,NOT_STARTED,2024-06-28
1226,3640,NOT_STARTED,2024-04-18
1932,4843,COMPLETED,2024-01-15
499,1931,COMPLETED,2023-08-23
1687,3239,COMPLETED,2023-07-22
1083,1937,STARTED,2024-04-16
1459,3947,COMPLETED,2023-07-26
440,674,NOT_STARTED,2024-10-01
466,4588,STARTED,2023-10-16
18,1785,COMPLETED,2024-01-10
572,777,STARTED,2024-01-01
677,4095,COMPLETED,2023-10-18
14,1261,STARTED,2024-12-09
1510,101,COMPLETED,2024-12-28
896,4436,COMPLETED,2024-01-26
472,4626,STARTED,2024-10-25
913,3019,COMPLETED,2024-09-21
1714,4012,NOT_STARTED,2024-02-02
1979,2936,NOT_STARTED,2024-05-09
790,3732,STARTED,2024-07-17
888,2123,COMPLETED,2024-07-28
43,741,STARTED,2023-06-21
790,1664,NOT_STARTED,2024-01-30
797,236,STARTED,2024-08-13
180,967,NOT_STARTED,2023-10-22
178,3652,COMPLETED,2024-04-12
1067,2393,COMPLETED,2024-10-19
1680,4871,STARTED,2024-03-30
1312,199,STARTED,2023-09-07
373,1748,NOT_STARTED,2024-01-16
501,2618,COMPLETED,2023-11-14
643,527,NOT_STARTED,2024-03-31
1726,2570,STARTED,2023-06-07
491,1607,COMPLETED,2024-10-30
752,4244,NOT_STARTED,2024-04-02
577,4279,STARTED,2024-07-07
622,119,NOT_STARTED,2023-08-11
600,969,COMPLETED,2024-05-02
1493,4501,STARTED,2023-08-05
642,3606,NOT_STARTED,2023-08-22
1896,988,NOT_STARTED,2023-10-05
1274,4751,COMPLETED,2024-02-11
109,4407,COMPLETED,2023-10-12
957,3694,NOT_STARTED,2023-10-27
432,1980,COMPLETED,2023-09-29
1954,2002,COMPLETED,2024-04-26
905,1604,NOT_STARTED,2024-03-16
1953,3436,COMPLETED,2024-07-08
1707,2610,STARTED,2024-06-04
1515,1714,NOT_STARTED,2024-04-08
1028,374,COMPLETED,2023-07-25
575,1005,COMPLETED,2024-03-15
828,3940,NOT_STARTED,2023-09-14
11,4671,NOT_STARTED,2023-10-03
772,313,COMPLETED,2024-02-02
1880,2930,NOT_STARTED,2024-12-10
692,1453,STARTED,2024-12-02
962,2971,NOT_STARTED,2024-03-12
392,4908,NOT_STARTED,2024-04-10
1148,4214,COMPLETED,2024-02-23
877,4076,NOT_STARTED,2024-10-15
1281,3420,NOT_STARTED,2023-07-11
1762,1396,NOT_STARTED,2023-07-08
